Age,IFR,Estimate,Type
76,0.08761495261745061,Upper,Ungrouped
77,0.09267342270911222,Upper,Ungrouped
78,0.09778168059419698,Upper,Ungrouped
79,0.1029484183083874,Upper,Ungrouped
80,0.10818730748356202,Upper,Ungrouped
81,0.11351727688398763,Upper,Ungrouped
82,0.11896280624534246,Upper,Ungrouped
83,0.1245542599059865,Upper,Ungrouped
84,0.13032828657966142,Upper,Ungrouped
85,0.13632831479439447,Upper,Ungrouped
86,0.14259751009236799,Upper,Ungrouped
87,0.1491550006703309,Upper,Ungrouped
88,0.1560140440780188,Upper,Ungrouped
89,0.1631885075269865,Upper,Ungrouped
90,0.17069289592652365,Upper,Ungrouped
91,0.17854238120882862,Upper,Ungrouped
92,0.18675283300273146,Upper,Ungrouped
93,0.19534085071797808,Upper,Ungrouped
94,0.20432379710494278,Upper,Ungrouped
95,0.2137198333576191,Upper,Ungrouped
96,0.22354795583085574,Upper,Ungrouped
97,0.2338280344460725,Upper,Ungrouped
98,0.24458085286310177,Upper,Ungrouped
99,0.25582815049937213,Upper,Ungrouped
100,0.2675926664813878,Upper,Ungrouped
